policy_id,country_iso,country_update,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,last_update,impact_indicators.comments,impact_indicators.name,impact_indicators.value,impact_indicators.base_year,impact_indicators.target_year
211002390,CAN,Annual,NextGen Biofuels Fund,NextGen Biofuels Fund Canada (2007),Country,,Canada,,,"Economic instruments, Direct investment, RD&D funding","Transport, Electricity and heat, Renewables",The Government of Canada provides CAD 500 million to Sustainable Development Technology Canada (SDTC) to invest with the private sector to establish first-of-kind large demonstration-scale facilities for the production of next-generation biofuels. The funding to the SDTC is co-managed by Natural Resources Canada and Environment Canada.,Renewables,,In force,2007.0,,,Unknown,Mitigation,https://www.nrcan.gc.ca/next-generation-biofuels-fund/3643,,,,,,
211000163,CAN,Annual,Alberta Energy Efficiency Carbon Offset Protocol,Alberta Energy Efficiency Carbon Offset Protocol Canada (2007),Subnational region,,Canada,,,"GHG emission reduction crediting and offsetting mechanism, Codes and standards","Industry, Industrial energy related",,Energy efficiency,,In force,2007.0,,,Unknown,"Mitigation, Energy security",https://www.alberta.ca/alberta-emission-offset-system.aspx#toc-4,,,,,,
211105499,CAN,Annual,Canadian Emissions Reduction Innovation Network (CERIN),Canadian Emissions Reduction Innovation Network (CERIN) Canada (2019),Country,,Canada,,,"Fiscal or financial incentives, Grants and subsidies, Research & Development and Deployment (RD&D), Technology development","Industry, Fossil fuel exploration and production",This initiative supports research aiming to reduce methane emissions from the oil and gas sector. It has a budget of CAD 10.26 million,Energy service demand reduction and resource efficiency,,In force,2019.0,,,,Mitigation,https://www.canada.ca/en/natural-resources-canada/news/2020/07/canada-invests-in-clean-technology-for-albertas-natural-resources-sectors.html,01/10/2021,,,,,
211000844,CAN,Annual,EnerGuide for Houses Retrofit Incentive,EnerGuide for Houses Retrofit Incentive Canada (2001),Country,,Canada,,,"Grants and subsidies, Fiscal or financial incentives",Buildings,,Energy efficiency,,Superseded,2001.0,,2007.0,Unknown,Mitigation,https://www.iea.org/policies/1532-energuide-for-houses-retrofit-incentive,,,,,,
211001948,CAN,Annual,National Energy Code for Buildings,National Energy Code for Buildings Canada (1997),Country,,Canada,,,"Building codes and standards, Product standards","Buildings, Heating and cooling, Hot water and cooking, Appliances, Construction","""In 1997, the Government of Canada introduced a Model National Energy Code for Buildings (MNEBC 1997), which augmented the existing National Building Code with a set of energy-specific criteria on top of the National Building Code’s (NBC) existing health and safety requirements. National Building Codes in Canada do not have force in law, and are adopted (or adapted) by jurisdictions (provinces and territories) on an individual basis"" (IEA, 2011) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,Superseded,1997.0,1997.0,,High,Mitigation,https://publications.gc.ca/collections/collection_2020/cnrc-nrc/NR24-24-1997-1-eng.pdf,,,,,,
211001220,CAN,Annual,Freight Sustainability Demonstration Program (FSDP),Freight Sustainability Demonstration Program (FSDP) Canada (2005),Country,,Canada,,,"Fiscal or financial incentives, Research & Development and Deployment (RD&D)","Transport, Shipping",,Energy efficiency,,Superseded,2005.0,,,Unknown,Mitigation,https://www.canada.ca/en/news/archive/2005/11/three-freight-sustainability-projects-quebec-announced-reduce-greenhouse-gas-emissions.html,,,,,,
211001787,CAN,Annual,Manufacturing Investment Tax Credit - Manitoba,Manufacturing Investment Tax Credit - Manitoba Canada (2003),Subnational region,,Canada,,,Tax relief,Industry,,Energy efficiency,,In force,2003.0,,,Unknown,Mitigation,http://www.gov.mb.ca/ctt/invest/busfacts/govt/manuf_taxc.html,,,,,,
211003191,CAN,Annual,Amendment 14 - Energy Efficiency Regulations - Air Conditioners,Amendment 14 - Energy Efficiency Regulations - Air Conditioners Canada (2019),Country,,Canada,,,Product standards,"Buildings, Appliances",,Energy efficiency,,In force,2019.0,,,Unknown,Mitigation,https://natural-resources.canada.ca/energy-efficiency/energy-efficiency-regulations/regulatory-announcements/amendment-14-energy-efficiency-regulations/18437,,,,,,
211001090,CAN,Annual,Excise Tax Exemption for Bio-Diesel Fuel,Excise Tax Exemption for Bio-Diesel Fuel Canada (2003),Country,,Canada,,,Fiscal or financial incentives,Transport,,Renewables,,Ended,2003.0,,,Unknown,Mitigation,http://www.cesarnet.ca/biocap-archive/rif/report/Walburger_A.pdf,,,,,,
211000062,CAN,Annual,50 Million Tree Program,50 Million Tree Program Canada (2004),Country,,Canada,,,Direct investment,"Agriculture and forestry, Forestry","""Ontario 50 Million Tree Program plants trees on the settled landscape of the southern part of the province""","Energy service demand reduction and resource efficiency, Non-energy use, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,In force,2004.0,,,Unknown,Mitigation,http://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/canadas_2nd_biennial_report.pdf,,,,,,
211001351,CAN,Annual,Green Municipal Fund (GMF),Green Municipal Fund (GMF) Canada (2015),Country,,Canada,,,Funds to sub-national governments,"Buildings, General",,Energy efficiency,,In force,2015.0,,,Unknown,Mitigation,https://www.nrcan.gc.ca/nrcan/transparency/reporting-accountability/plans-performance-reports/green-municipal-fund-gmf/17069,,,,,,
211001402,CAN,Annual,Guide to Environmental Claims for Industry and Advertisers,Guide to Environmental Claims for Industry and Advertisers Canada (2008),Country,,Canada,,,"Advice or aid in implementation, Information provision",Industry,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch",,In force,2008.0,,,Unknown,Mitigation,http://www.competitionbureau.gc.ca/epic/site/cb-bc.nsf/en/02701e.html,,,,,,
211002383,CAN,Annual,Quebec Industrial Systems Energy Efficiency Program (Hydro Quebec),Quebec Industrial Systems Energy Efficiency Program (Hydro Quebec) Canada (2015),Subnational region,,Canada,,,"Fiscal or financial incentives, Auditing, Monitoring","Industry, Industrial energy related",,Energy efficiency,,In force,2015.0,,,Unknown,Energy security,https://www.hydroquebec.com/business/programs-tools/transition-rules-industrial-systems-program-catered-projects-component.html,,,,,,
211001902,CAN,Annual,National Building Code,National Building Code Canada (2010),Country,,Canada,,,Building codes and standards,"Buildings, Construction","The 2010 edition of the National Building Code of Canada (NBC) incorporates significant technical changes from the 2005 edition. The NBC sets out technical provisions for the design and construction of new buildings. It also applies to the alteration, change of use and demolition of existing buildings.
Energy efficiency requirements for housing and small buildings that are less than 600 m2 in footprint and not more than three stories, excluding some industrial occupancies.",Energy efficiency,,In force,2010.0,2010.0,,Unknown,Mitigation,http://codes-guides.nrc.ca/IA/10NBC/intentframe.html,,,,,,
211002992,CAN,Annual,Vehicle Greenhouse Gas Emission Regulations,Vehicle Greenhouse Gas Emission Regulations Canada (2009),Country,,Canada,,,Vehicle fuel-economy and emissions standards,"Transport, Light-duty vehicles, Heavy-duty vehicles",,Energy efficiency,,Superseded,2009.0,,,Unknown,Mitigation,https://www.canada.ca/en/environment-climate-change/services/canadian-environmental-protection-act-registry/publications/vehicle-emission-regulations-guidance-document.html,,,,,,
211000461,CAN,Annual,Clean Energy Fund - Renewable Energy and Clean Energy Systems Demonstration Projects,Clean Energy Fund - Renewable Energy and Clean Energy Systems Demonstration Projects Canada (2008),Country,,Canada,,,"RD&D funding, Demonstration project, Technology deployment and diffusion","General, Electricity and heat, CCS, Renewables, Industry, Industrial process CO2","""The Government of Canada has allocated $317.6 million over five years (2009/10–2013/14) for the demonstration of promising technologies, including large-scale carbon capture and storage projects, and renewable energy and clean energy systems demonstration and research and development projects. The Fund is expected to result in emissions reductions of up to 2,800 kt CO2 eq per year from 2015 to 2025, and possibly beyond."" (Annex to Canada's 2nd Biennial Report, 2016)","Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2008.0,2008.0,,High,Mitigation,https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/energy/files/pdf/CLEAN-ENERGY-FUND-ENG-FINAL-may-29.pdf,,,,,,
211002423,CAN,Annual,Reducing Greenhouse Gas Emissions from Off-Road Vehicles and Equipment,Reducing Greenhouse Gas Emissions from Off-Road Vehicles and Equipment Canada (2003),Country,,Canada,,,"Fiscal or financial incentives, Policy support, Performance label, Vehicle fuel-economy and emissions standards",Transport,,"Energy efficiency, Renewables",,Ended,2003.0,,2006.0,Unknown,Mitigation,https://dieselnet.com/standards/ca/,,,,,,
211002972,CAN,Annual,Updated Regulations to Reduce Emissions from Large Final Emitters (LFEs),Updated Regulations to Reduce Emissions from Large Final Emitters (LFEs) Canada (2005),Country,,Canada,,,"Fiscal or financial incentives, Regulatory Instruments, Market-based instruments","Industry, Electricity and heat",,"Energy service demand reduction and resource efficiency, Energy efficiency",,Superseded,2005.0,,,Unknown,Mitigation,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html,,,,,,
211002531,CAN,Annual,Renewable Fuels Regulations (Biofuels Bill),Renewable Fuels Regulations (Biofuels Bill) Canada (2008),Country,,Canada,,,"Monitoring, Obligation schemes","Transport, Electricity and heat, Heavy-duty vehicles, Light-duty vehicles","Mandating a 5% renewable fuel content in gasoline by 2010, and a 2% renewable fuel content in diesel fuel and heating oil by 2012.
Target:
- 5% bio-ethanol share in gasoline by 2011
- 2% bio-diesel share in diesel by 2011",Renewables,,In force,2008.0,2008.0,,High,Mitigation,https://www.canada.ca/en/environment-climate-change/services/managing-pollution/energy-production/fuel-regulations/renewable.html,,,"Blend of biofuel in diesel (%), Blend of biofuel in gasoline (%)","2, 5","2011, 2011",","
211005194,CAN,Annual,Federal Greenhouse Gas Offset System,Federal Greenhouse Gas Offset System Canada (2020),Country,,Canada,,,"Market-based instruments, GHG emission reduction crediting and offsetting mechanism",General,"Canada is developing a federal GHG offset system that would cover activities not covered by carbon pricing. Initially, the system will focus on voluntary projects in agriculture, waste and forestry. Credits generated under the system can be used to reduce the compliance costs of industrial facilities covered by the Output-Based Pricing System (OBPS) component of Canada’s Greenhouse Gas Pollution Pricing Act.
The Federal GHG Offset System will be national in scope, with a focus on enabling offset project development in provinces and territories without offset programs. The proposed Greenhouse Gas Offset regulation is available for public comment until May 5, 2021.","Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use, Other low-carbon technologies and fuel switch, Renewables",,In force,2020.0,2022.0,,Unknown,Mitigation,"https://www.canada.ca/content/dam/eccc/documents/pdf/climate-change/pricing-pollution/pricing-pollutionProtocol-Development-GHG-Offset-System-v6.pdf
https://www.canada.ca/en/environment-climate-change/services/climate-change/pricing-pollution-how-it-will-work/output-based-pricing-system/federal-greenhouse-gas-offset-system.html",07/02/2023,,,,,
211000369,CAN,Annual,Adaptation Platform,Adaptation Platform Canada (2012),Country,,Canada,,,Strategic planning,General,,"Energy service demand reduction and resource efficiency, Non-energy use",,In force,2012.0,,,Unknown,Adaptation,http://www.nrcan.gc.ca/environment/impacts-adaptation/adaptation-platform/10027,,,,,,
211001102,CAN,Annual,Expanded Use of Biodiesel,Expanded Use of Biodiesel Canada (2003),Country,,Canada,,,"Research & Development and Deployment (RD&D), Vehicle fuel-economy and emissions standards",Transport,,Renewables,,Superseded,2003.0,,,Unknown,Mitigation,https://www.nrcan.gc.ca/energy-efficiency/energy-efficiency-transportation/alternative-fuels/biofuels/biodiesel/3509,,,,,,
211001218,CAN,Annual,Freight Efficiency and Technology Initiative,Freight Efficiency and Technology Initiative Canada (2001),Country,,Canada,,,"Policy support, Research & Development and Deployment (RD&D), Voluntary approaches",Transport,,Energy efficiency,,Superseded,2001.0,,2007.0,Unknown,Mitigation,https://trid.trb.org/view/688472,,,,,,
211002077,CAN,Annual,National Vehicle Scrappage Programme,National Vehicle Scrappage Programme Canada (2009),Country,,Canada,,,"Retirement premium, Grants and subsidies, Voluntary approaches","Transport, Light-duty vehicles","An end-of-life vehicle purchase program. IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]","Energy efficiency, Energy service demand reduction and resource efficiency",,Ended,2009.0,,2011.0,Unknown,"Mitigation, Energy security",http://www.retireyourride.ca,,,,,,
211105494,CAN,Annual,Clean Energy for Rural and Remote Communities program,Clean Energy for Rural and Remote Communities program Canada (2020),Country,,Canada,,,"Fiscal or financial incentives, Grants and subsidies, Loans, Direct investment, Voluntary approaches, Negotiated agreements (public-private sector)","Electricity and heat, Renewables",This program includes investments for CAD 8 million for eight community-led clean energy projects,Renewables,,In force,2020.0,,,,Mitigation,https://www.canada.ca/en/natural-resources-canada/news/2020/09/canada-invests-in-clean-energy-projects-in-the-northwest-territories.html,01/10/2021,,,,,
211002850,CAN,Annual,Technology and Innovation Initiative,Technology and Innovation Initiative Canada (2003),Country,,Canada,,,"Information and education, Research & Development and Deployment (RD&D)",General,,"Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,Superseded,2003.0,,2008.0,Unknown,Mitigation,https://ised-isde.canada.ca/site/industrial-technologies-office/en/technology-partnerships-canada-tpc/tpc-program-information/technology-partnerships-canada-2003-2004-year-review,,,,,,
211000550,CAN,Annual,Commercial Transportation Energy efficiency and Fuels Initiative,Commercial Transportation Energy efficiency and Fuels Initiative Canada (2003),Country,,Canada,,,"Fiscal or financial incentives, Policy support, Vehicle fuel-economy and emissions standards",Transport,,"Energy efficiency, Renewables",,Superseded,2003.0,,,Unknown,Mitigation,https://www.iea.org/policies/1656-commercial-transportation-energy-efficiency-and-fuels-initiative,,,,,,
211001079,CAN,Annual,Ethanol in Fuel - Saskatchewan,Ethanol in Fuel - Saskatchewan Canada (2004),Subnational region,,Canada,,,Regulatory Instruments,Transport,,Renewables,,In force,2004.0,,,Unknown,Mitigation,https://pubsaskdev.blob.core.windows.net/pubsask-prod/1765/E11-1r1.pdf,,,,,,
